,Date,Place,Title,Band,Open,Start
5,2018-08-06,梅田Zeela,weekday's vacation ～mogsan『Summer Noodle』release tour 梅田編～,"['mogsan(東京)', '古今三奇人(東京)', 'Orient-Vesper', '青に晴れる']",18:30:00,19:00:00
6,2018-08-07,梅田Zeela,HOW WAS YOUR DAY?,"['ネコレクション', '.Room', 'Nodding,Over', 'foolrim']",18:30:00,19:00:00
7,2018-08-08,梅田Zeela,"NanoCryde ""僕らのユクエ"" Tour 2018","['NanoCryde', 'キャストライト', 'イズミアキヒロ', 'シークレットバンド']",19:00:00,19:30:00
8,2018-08-10,梅田Zeela,RENO TOUR 2018 IMAGE,['RENO'],18:30:00,19:00:00
9,2018-08-11,梅田Zeela,Gの集いVol.4〜最後のファイナルだ！〜,"['OH JESUS', 'GLAYCIA', 'G Top Out', 'Diamanté di gligio', 'THE GREATEST SHOWMAN', 'After the Rain', 'GLAY JUMBO', ""G'z(O.A.)""]",14:40:00,15:10:00
10,2018-08-12,梅田Zeela,天 Rock コピバンしようぜ!!　Vol.1 (天コピ),"['RED KINGS', '穴吸', 'ORANGE JAM', '田中坂416', 'まんだむ', 'ロリータ5号', 'マキシマイトZ', 'ザ・パンチドランカーズ', '踊る天テコBAND']",15:30:00,16:00:00
11,2018-08-14,梅田Zeela,えり企画,"['ゴリロック', '@bumpofatsuki', '感じるシバノ', 'NEKO Touches the Boys', 'うまい棒', 'マイヘアするしかない', '万事屋', 'ヤバイヤツラヤーサン', '市﨑', 'おらる']",13:30:00,13:45:00
12,2018-08-15,梅田Zeela,Zeela-盆-BA-YE,"[""tha Marmillow's"", 'smorking birds', 'ツキノスミカ', '0゜(アンディグリー)']",18:00:00,18:30:00
13,2018-08-16,梅田Zeela,真夏のZeela祭～BON・キュッ・BON～2018お盆最後の日,"['あくとわん', 'Mez-zo-forute', 'CAT ATE HOTDOGS', '嗜みロック', '+ 1 more secret act']",17:00:00,17:30:00
14,2018-08-17,梅田Zeela,HUL OVER presents.HULING vol.1,"['HUL OVER', 'aivolic', 'MOLE HiLL', '脳内リフレイン']",18:00:00,18:30:00
